initVote ID|BallotInit ID|User ID|Timestamp|Choice|Response
1|8|24|2020-06-07 09:38:14|False|Opposes the initiative
2|8|29|2023-11-11 23:12:06|False|Opposes the initiative
3|5|28|2023-09-26 07:32:02||No decision made
4|1|12|2021-11-03 12:32:38|True|Supports the initiative
5|9|26|2021-08-02 05:29:53|True|Supports the initiative
6|3|6|2020-05-23 21:11:50|True|Supports the initiative
7|6|23|2023-02-01 09:08:42|True|Supports the initiative
8|4|40|2023-09-21 01:16:39|False|Opposes the initiative
9|10|16|2021-12-24 14:34:39|False|Opposes the initiative
10|4|36|2023-10-22 02:47:06||No decision made
11|5|10|2020-09-27 03:39:14|False|Opposes the initiative
12|2|38|2021-08-12 01:29:20|True|Supports the initiative
13|7|36|2022-11-09 03:52:33|True|Supports the initiative
14|9|8|2023-10-22 00:06:54|False|Opposes the initiative
15|1|40|2021-08-29 18:31:36|False|Opposes the initiative
16|5|12|2023-11-10 20:25:06|False|Opposes the initiative
17|7|35|2021-11-05 03:55:10|True|Supports the initiative
18|9|3|2023-07-27 21:54:50|False|Opposes the initiative
19|6|30|2021-08-26 01:59:14||No decision made
20|4|16|2022-08-14 15:59:43||No decision made
21|9|14|2023-12-21 18:32:40|True|Supports the initiative
22|4|1|2020-06-06 06:28:01|True|Supports the initiative
23|2|25|2024-03-07 00:53:05|True|Supports the initiative
24|8|20|2020-05-29 19:44:41||No decision made
25|2|31|2022-07-04 06:45:40||No decision made
26|5|13|2020-08-10 06:34:47||No decision made
27|2|19|2020-12-18 10:17:15|False|Opposes the initiative
28|1|4|2021-09-25 08:47:39||No decision made
29|8|14|2022-07-08 06:25:24|False|Opposes the initiative
30|7|37|2022-04-02 18:22:27|True|Supports the initiative
31|7|7|2022-01-19 00:43:37|True|Supports the initiative
32|9|12|2023-10-17 07:25:46|True|Supports the initiative
33|8|15|2021-01-09 10:41:27||No decision made
34|1|32|2021-10-29 16:24:12|False|Opposes the initiative
35|3|16|2021-08-03 08:25:15|False|Opposes the initiative
36|4|30|2021-06-24 17:29:45|True|Supports the initiative
37|6|24|2021-06-22 11:14:34|False|Opposes the initiative
38|8|11|2023-04-10 00:48:02|True|Supports the initiative
39|6|34|2024-01-26 08:24:59|False|Opposes the initiative
