Election ID|Election Title|Society ID|Start Date|End Date
1|2022 Management Elections|1|2022-04-28|2022-06-27
2|2023 Management Elections|1|2023-03-22|2023-11-25
3|2022 Presidential Elections|2|2022-08-24|2022-10-03
4|2023 Directorship Elections|2|2023-09-09|2024-11-25
5|2022 Chairperson Selection|3|2022-11-21|2023-01-03
6|2023 Governing Body Elections|3|2023-07-26|2024-11-25
7|2022 Council Presidency Elections|4|2022-07-26|2022-08-26
8|2023 Steering Committee Elections|4|2023-08-04|2024-11-25
9|2022 Officer Appointments|5|2022-04-15|2022-05-24
10|2023 Committee Chair Elections|5|2023-05-07|2024-11-25
11|2025 Management Elections|2|2025-03-01|2025-09-21
12|2026 Management Elections|2|2026-02-01|2026-12-27
13|2027 Management Elections|2|2027-03-01|2027-09-19
