Employee ID|Society ID
1|67
1|7
2|69
3|41
3|63
4|14
5|77
5|24
6|76
6|41
6|24
7|17
7|58
8|13
8|64
8|67
9|58
9|23
10|9
10|49
11|14
11|80
11|64
12|17
13|52
14|76
15|33
15|30
16|78
16|34
17|52
17|78
18|51
19|50
20|30
20|66
20|57
21|45
21|22
21|4
22|7
22|40
22|73
23|53
24|14
25|1
26|74
27|7
27|39
28|58
29|43
29|68
30|13
30|56
31|59
31|14
32|15
32|62
33|46
33|80
34|4
35|38
35|69
36|80
36|75
36|38
37|40
38|57
38|58
38|55
39|14
40|8
41|5
41|21
41|6
42|40
42|50
42|10
43|57
43|66
44|5
44|70
44|61
45|50
46|16
46|11
46|76
47|42
48|37
49|34
49|71
50|38
50|21
50|7
51|61
51|27
52|34
52|66
53|5
53|47
53|27
54|50
54|23
54|60
55|36
56|23
56|24
57|66
58|12
58|19
59|40
59|28
59|27
60|41
61|7
61|9
62|16
62|63
63|59
63|26
63|9
64|59
65|67
65|47
66|31
67|72
67|38
67|39
68|47
69|59
70|76
70|72
70|49
71|21
71|17
72|64
72|24
72|67
73|18
73|69
73|9
74|36
74|55
75|38
75|23
75|29
76|29
77|42
77|32
78|6
79|77
80|42
80|58
81|12
81|30
81|20
82|14
82|42
83|19
83|30
84|78
84|51
85|19
86|17
86|24
87|48
87|34
87|14
88|23
88|7
89|14
89|66
90|54
90|76
90|6
91|63
92|43
92|20
93|30
94|54
95|75
96|28
97|24
98|73
98|24
99|56
99|68
99|72
100|51
100|40
100|2
101|53
101|52
101|4
102|11
102|62
102|57
103|70
103|56
103|17
104|3
105|3
105|38
105|25
106|48
106|28
106|16
107|77
108|58
108|56
109|42
110|5
110|29
111|74
112|80
112|11
113|37
113|67
113|6
114|49
114|14
115|52
115|62
116|42
116|18
116|30
117|16
118|32
118|27
119|25
119|19
120|74
120|10
120|60
121|12
122|18
122|61
123|1
124|65
124|26
125|57
126|52
127|80
127|14
128|67
128|12
129|5
129|34
130|12
130|53
131|47
132|21
132|12
133|47
133|79
133|78
134|5
134|65
134|10
135|40
135|48
136|35
137|27
138|79
138|28
139|17
139|34
139|5
140|4
141|18
141|47
142|53
142|56
142|23
143|7
143|38
143|12
144|54
144|58
144|69
145|58
145|69
145|79
146|47
146|64
146|7
147|29
147|66
148|31
148|44
148|42
149|72
149|45
150|48
150|26
150|12
151|69
151|6
151|54
152|6
152|76
153|26
154|32
155|15
155|78
155|51
156|10
156|33
156|56
157|79
157|49
158|38
158|39
159|76
160|9
160|42
161|11
161|9
162|53
162|73
162|59
163|57
163|35
163|20
164|12
164|2
164|17
165|17
165|1
166|57
166|75
167|10
168|19
168|52
169|14
170|51
170|63
171|10
172|54
172|18
173|19
173|10
174|6
174|1
174|12
175|5
175|71
176|20
176|29
176|68
177|73
177|17
178|24
179|21
180|66
180|75
180|77
181|9
181|67
182|30
182|40
182|44
183|34
183|26
184|27
184|52
184|73
185|72
186|23
186|14
187|32
188|4
188|26
188|40
189|70
189|23
189|48
190|53
191|1
191|29
191|3
192|39
192|47
192|36
193|45
193|49
193|68
194|77
194|22
195|6
196|42
197|67
198|42
198|14
199|43
199|50
199|2
200|45
200|21
200|77
201|79
201|34
201|30
202|61
202|36
202|14
203|68
204|64
205|21
205|56
206|77
207|15
207|9
208|10
208|75
209|9
209|30
209|20
210|44
211|8
212|29
212|16
213|79
213|62
214|3
214|11
215|13
215|28
216|31
216|61
217|52
217|29
218|1
218|29
218|43
219|73
219|28
220|18
221|30
221|47
221|60
222|1
222|18
222|66
223|9
224|23
224|18
225|58
226|77
226|39
227|76
227|46
228|29
229|76
229|50
229|36
230|3
230|52
230|50
231|6
231|4
231|9
232|69
232|52
232|79
233|32
234|19
234|73
234|66
235|11
236|75
236|36
236|63
237|36
237|11
237|15
238|53
238|7
238|30
239|63
240|64
240|31
241|49
241|62
241|66
242|13
242|56
242|50
243|49
243|20
243|54
244|71
245|12
245|66
245|10
246|79
246|72
246|73
247|50
247|22
247|31
248|54
248|10
249|65
250|50
250|57
250|2
251|45
251|26
252|51
253|52
253|20
253|4
254|78
254|65
255|48
255|49
255|62
256|66
256|13
256|39
257|32
257|70
258|7
258|4
258|60
259|47
259|22
260|59
260|26
261|78
261|12
261|36
262|43
262|74
262|4
263|74
263|58
263|48
264|43
264|19
265|8
265|62
266|47
266|21
267|29
267|14
268|8
268|72
269|69
269|45
269|35
270|19
270|9
271|7
271|77
272|77
272|53
272|17
273|79
273|14
273|12
274|44
275|39
276|60
276|28
276|68
277|41
278|70
278|41
279|20
280|60
281|48
281|21
281|23
282|21
282|25
282|40
