Office ID|Election ID|Office Name|Allowed Votes
1|1|Treasurer|1
2|1|President|1
3|1|Secretary|1
4|2|Treasurer|1
5|2|Secretary|1
6|2|Vice President|1
7|3|President|1
8|3|Vice President|1
9|3|Secretary|1
10|4|Secretary|1
11|4|Treasurer|1
12|5|Secretary|1
13|5|Treasurer|1
14|5|President|1
15|5|Vice President|2
16|6|Treasurer|1
17|6|Vice President|2
18|6|President|1
19|7|President|1
20|7|Treasurer|1
21|7|Vice President|1
22|7|Secretary|1
23|8|President|1
24|8|Treasurer|1
25|9|President|1
26|10|President|1
27|10|Treasurer|1
28|10|Secretary|1
29|10|Vice President|2
