Officer ID|Society ID
1|28
2|96
3|85
4|66
5|33
6|12
7|90
8|99
9|63
10|68
11|44
12|4
13|21
14|79
15|64
16|69
17|38
18|43
19|86
20|25
21|75
22|53
23|85
24|30
25|61
26|75
27|96
28|14
29|23
30|87
31|32
32|77
33|44
34|53
35|80
36|32
37|72
38|43
39|68
40|25
41|74
42|100
43|87
44|42
45|58
46|35
47|46
48|60
49|97
50|55
51|54
52|89
53|31
54|5
55|17
56|96
57|28
58|58
59|5
60|59
61|99
62|62
63|86
64|89
65|54
66|28
67|55
68|72
69|92
70|2
71|7
72|51
73|72
74|92
75|50
76|93
77|58
78|69
79|20
80|92
81|86
82|39
83|2
84|66
85|4
86|97
87|76
88|34
89|9
90|18
91|21
92|2
93|26
94|78
95|55
96|86
97|3
98|33
99|30
100|89
101|37
102|3
103|5
104|64
105|14
106|56
107|83
108|85
109|51
110|43
111|60
112|47
113|25
114|49
115|10
116|76
117|7
118|15
119|21
120|88
121|76
122|80
123|21
124|15
125|48
126|46
127|25
128|91
129|66
130|18
131|86
132|95
133|19
134|60
135|89
136|76
137|6
138|54
139|28
140|11
141|92
142|70
143|58
144|62
145|72
146|24
147|52
148|75
149|73
150|75
151|72
152|38
153|33
154|86
155|67
156|29
157|6
158|66
159|54
160|26
161|68
162|38
163|84
164|84
165|61
166|39
167|85
168|58
169|32
170|33
171|34
172|27
173|51
174|33
175|36
176|33
177|75
178|85
179|14
180|76
181|71
182|30
183|61
184|69
185|24
186|83
187|87
188|32
189|3
190|53
191|38
192|2
193|92
194|71
195|81
196|44
197|62
198|50
199|57
200|90
201|60
202|69
203|89
204|74
205|72
206|87
207|88
208|15
209|7
210|71
211|1
212|6
213|2
214|69
215|24
216|21
217|44
218|5
219|21
220|66
221|7
222|94
223|73
224|46
225|24
226|75
227|68
228|42
229|11
230|60
231|37
232|55
233|80
234|53
235|66
236|63
237|9
238|23
239|99
240|98
241|97
242|42
243|46
244|28
245|83
246|58
247|29
248|12
249|53
250|18
251|25
252|45
253|55
254|61
255|28
256|87
257|81
258|14
259|25
260|59
261|43
262|91
263|31
264|74
265|52
266|64
267|46
268|53
269|68
270|73
271|46
272|79
273|1
274|1
275|91
276|79
277|23
278|33
279|49
280|99
281|75
282|82
283|94
284|96
285|90
286|52
287|80
288|17
289|18
290|63
291|78
292|9
293|58
294|39
295|35
296|83
297|69
298|4
299|19
300|22
301|98
302|72
303|38
304|95
305|70
306|50
307|35
308|57
309|32
310|9
311|79
312|83
313|38
314|24
315|92
316|14
317|57
318|16
319|53
320|67
321|86
322|99
323|13
324|86
325|42
326|41
