uniqueID|UserID|SocietyID
1|1|12
2|2|5
3|3|19
4|4|42
5|5|24
6|6|60
7|7|6
8|8|2
9|9|38
10|10|69
11|11|71
12|12|78
13|13|24
14|14|61
15|15|8
16|16|51
17|17|21
18|18|61
19|19|19
20|20|6
21|21|6
22|22|1
23|23|19
24|24|43
25|25|76
26|26|68
27|27|55
28|28|16
29|29|18
30|30|71
31|31|53
32|32|36
33|33|12
34|34|53
35|35|68
36|36|60
37|37|59
38|38|21
39|39|75
40|40|13
41|41|51
42|42|80
43|43|80
44|44|68
45|45|48
46|46|16
47|47|14
48|48|56
49|49|58
50|50|32
51|51|53
52|52|27
53|53|30
54|54|11
55|55|55
56|56|52
57|57|37
58|58|28
59|59|36
60|60|48
61|61|31
62|62|65
63|63|64
64|64|69
65|65|73
66|66|76
67|67|62
68|68|17
69|69|28
70|70|61
71|71|54
72|72|76
73|73|36
74|74|49
75|75|54
76|76|13
77|77|22
78|78|55
79|79|39
80|80|44
81|81|64
82|82|32
83|83|76
84|84|44
85|85|18
86|86|45
87|87|53
88|88|13
89|89|27
90|90|14
91|91|42
92|92|29
93|93|60
94|94|50
95|95|1
96|96|80
97|97|12
98|98|56
99|99|47
100|100|67
101|101|3
102|102|7
103|103|2
104|104|44
105|105|8
106|106|55
107|107|21
108|108|13
109|109|29
110|110|52
111|111|28
112|112|77
113|113|4
114|114|72
115|115|10
116|116|26
117|117|52
118|118|44
119|119|74
120|120|56
121|121|27
122|122|23
123|123|57
124|124|35
125|125|31
126|126|79
127|127|29
128|128|2
129|129|64
130|130|47
131|131|14
132|132|41
133|133|20
134|134|30
135|135|10
136|136|51
137|137|18
138|138|31
139|139|67
140|140|27
141|141|23
142|142|46
143|143|53
144|144|66
145|145|80
146|146|3
147|147|3
148|148|55
149|149|80
150|150|71
151|151|34
152|152|35
153|153|45
154|154|56
155|155|62
156|156|39
157|157|49
158|158|41
159|159|4
160|160|45
161|161|2
162|162|60
163|163|68
164|164|40
165|165|80
166|166|27
167|167|3
168|168|80
169|169|3
170|170|30
171|171|14
172|172|70
173|173|35
174|174|69
175|175|60
176|176|45
177|177|47
178|178|30
179|179|13
180|180|42
181|181|8
182|182|23
183|183|4
184|184|64
185|185|43
186|186|20
187|187|14
188|188|28
189|189|54
190|190|66
191|191|80
192|192|41
193|193|67
194|194|69
195|195|10
196|196|70
197|197|50
198|198|48
199|199|17
200|200|7
201|201|47
202|202|20
203|203|21
204|204|50
205|205|41
206|206|12
207|207|10
208|208|8
209|209|25
210|210|71
211|211|63
212|212|25
213|213|67
214|214|8
215|215|33
216|216|59
217|217|49
218|218|23
219|219|15
220|220|26
221|221|64
222|222|29
223|223|65
224|224|14
225|225|23
226|226|28
227|227|26
228|228|14
229|229|60
230|230|34
231|231|41
232|232|27
233|233|42
234|234|58
235|235|11
236|236|30
237|237|45
238|238|18
239|239|50
240|240|1
241|241|40
242|242|77
243|243|20
244|244|57
245|245|44
246|246|20
247|247|29
248|248|45
249|249|33
250|250|16
251|251|34
252|252|59
253|253|40
254|254|24
255|255|49
256|256|32
257|257|28
258|258|58
259|259|65
260|260|58
261|261|39
262|262|16
263|263|68
264|264|57
265|265|60
266|266|28
267|267|13
268|268|45
269|269|51
270|270|45
271|271|6
272|272|61
273|273|70
274|274|17
275|275|66
276|276|13
277|277|4
278|278|35
279|279|76
280|280|2
281|281|20
282|282|24
283|283|58
284|284|34
285|285|25
286|286|2
287|287|67
288|288|4
289|289|64
290|290|40
291|291|58
292|292|48
293|293|78
294|294|25
295|295|70
296|296|42
297|297|62
298|298|1
299|299|37
300|300|38
301|301|5
302|302|38
303|303|46
304|304|46
305|305|17
306|306|21
307|307|18
308|308|18
309|309|13
310|310|14
311|311|38
312|312|56
313|313|49
314|314|3
315|315|78
316|316|46
317|317|73
318|318|14
319|319|20
320|320|13
321|321|49
322|322|32
323|323|80
324|324|1
325|325|45
326|326|74
327|327|15
328|328|40
329|329|19
330|330|78
331|331|7
332|332|45
333|333|47
334|334|5
335|335|72
336|336|3
337|337|72
338|338|7
339|339|68
340|340|30
341|341|22
342|342|47
343|343|41
344|344|65
345|345|66
346|346|69
347|347|72
348|348|73
349|349|30
350|350|76
351|351|80
352|352|15
353|353|64
354|354|16
355|355|26
356|356|13
357|357|29
358|358|55
359|359|68
360|360|61
361|361|19
362|362|6
363|363|61
364|364|48
365|365|20
366|366|35
367|367|67
368|368|74
369|369|9
370|370|41
371|371|78
372|372|25
373|373|71
374|374|54
375|375|46
376|376|73
377|377|40
378|378|66
