Vote ID|User ID|Election ID|Office ID|Candidate ID|Timestamp
1|1|9|25|64|2022-04-25 17:53:06
2|1|10|26|66|2023-05-15 18:25:13
3|1|10|27|68|2023-06-09 21:20:28
4|1|10|28|72|2023-05-07 08:27:21
5|1|10|29|76|2023-05-31 09:01:44
6|2|1|1|1|2022-05-08 17:44:37
7|2|1|2|5|2022-05-21 21:11:53
8|2|1|3|6|2022-06-08 20:34:41
9|2|2|4|8|2023-04-24 02:41:05
10|2|2|5|10|2023-04-14 10:09:50
11|2|2|6|13|2023-04-06 11:18:05
12|3|1|1|1|2022-05-25 04:50:39
13|3|1|2|3|2022-05-26 07:39:47
14|3|1|3|6|2022-05-26 03:12:32
15|3|2|4|9|2023-03-28 21:55:49
16|3|2|5|11|2023-04-20 20:25:23
17|3|2|6|12|2023-04-06 13:38:47
18|4|1|1|1|2022-04-28 11:33:44
19|4|1|2|4|2022-06-23 00:43:17
20|4|1|3|6|2022-04-30 05:49:57
21|4|2|4|7|2023-05-08 00:15:52
22|4|2|5|11|2023-04-16 11:09:20
23|4|2|6|12|2023-04-19 14:26:21
24|5|5|12|29|2022-12-31 14:07:08
25|5|5|13|31|2022-11-26 04:38:47
26|5|5|14|34|2022-11-27 15:00:09
27|5|5|15|35|2022-12-06 04:34:29
28|5|6|16|38|2023-08-09 18:53:44
29|5|6|17|39|2023-08-09 10:09:47
30|5|6|18|42|2023-08-28 08:13:27
31|6|5|12|30|2023-01-02 18:32:37
32|6|5|13|31|2022-11-27 14:22:43
33|6|5|14|33|2023-01-02 05:54:23
34|6|5|15|35|2022-12-20 18:16:21
35|6|6|16|37|2023-08-13 08:46:43
36|6|6|17|40|2023-08-14 10:23:31
37|6|6|18|41|2023-08-23 14:34:00
38|7|1|1|1|2022-05-14 17:44:14
39|7|1|2|2|2022-05-07 06:07:53
40|7|1|3|6|2022-05-04 08:00:52
41|7|2|4|9|2023-03-31 15:06:38
42|7|2|5|10|2023-05-08 16:38:27
43|7|2|6|13|2023-05-09 10:32:23
44|8|3|7|16|2022-08-31 15:34:12
45|8|3|8|18|2022-09-07 18:41:24
46|8|3|9|21|2022-10-02 14:48:21
47|8|4|10|22|2023-10-23 10:48:40
48|8|4|11|25|2023-10-08 03:37:13
49|9|5|12|28|2022-12-21 07:35:58
50|9|5|13|31|2022-12-13 00:41:54
51|9|5|14|34|2022-12-01 20:25:46
52|9|5|15|35|2022-12-12 01:17:19
53|9|6|16|37|2023-07-27 00:36:43
54|9|6|17|39|2023-08-28 23:52:37
55|9|6|18|42|2023-08-01 02:22:56
56|10|9|25|63|2022-05-12 20:39:54
57|10|10|26|66|2023-05-07 07:30:01
58|10|10|27|69|2023-05-08 16:19:43
59|10|10|28|72|2023-05-23 16:06:58
60|10|10|29|75|2023-06-28 15:54:52
61|11|9|25|63|2022-05-23 00:08:29
62|11|10|26|66|2023-06-10 19:47:56
63|11|10|27|67|2023-05-15 20:53:11
64|11|10|28|70|2023-05-13 05:21:17
65|11|10|29|75|2023-05-24 18:52:46
66|12|7|19|44|2022-07-26 07:59:39
67|12|7|20|45|2022-07-31 16:36:42
68|12|7|21|49|2022-08-10 13:04:18
69|12|7|22|50|2022-08-05 03:54:25
70|12|8|23|56|2023-08-19 06:28:37
71|12|8|24|60|2023-08-25 06:01:03
72|13|7|19|44|2022-08-08 23:02:57
73|13|7|20|45|2022-08-16 06:29:35
74|13|7|21|46|2022-08-11 20:47:55
75|13|7|22|51|2022-08-15 11:33:02
76|13|8|23|54|2023-08-26 14:55:24
77|13|8|24|59|2023-08-17 21:33:11
78|14|1|1|1|2022-05-11 03:15:54
79|14|1|2|2|2022-06-02 21:24:16
80|14|1|3|6|2022-06-05 08:44:30
81|14|2|4|8|2023-04-02 00:27:19
82|14|2|5|11|2023-03-26 04:58:52
83|14|2|6|12|2023-05-04 19:38:57
84|15|7|19|43|2022-08-03 19:26:28
85|15|7|20|45|2022-08-18 04:16:54
86|15|7|21|49|2022-08-10 12:19:08
87|15|7|22|53|2022-08-05 17:30:28
88|15|8|23|57|2023-08-29 11:23:55
89|15|8|24|61|2023-08-24 08:09:03
90|16|9|25|65|2022-04-22 05:13:26
91|16|10|26|66|2023-06-17 08:26:25
92|16|10|27|69|2023-06-28 19:52:31
93|16|10|28|71|2023-06-08 22:36:03
94|16|10|29|75|2023-06-21 10:05:07
95|17|5|12|30|2022-12-13 12:57:36
96|17|5|13|31|2022-11-30 04:01:16
97|17|5|14|32|2022-12-30 12:05:24
98|17|5|15|36|2022-12-26 14:10:08
99|17|6|16|38|2023-08-24 18:43:02
100|17|6|17|39|2023-08-02 04:47:13
101|17|6|18|42|2023-08-09 18:43:44
102|18|1|1|1|2022-05-25 12:55:40
103|18|1|2|3|2022-06-01 17:10:49
104|18|1|3|6|2022-05-28 13:39:59
105|18|2|4|9|2023-05-04 23:55:42
106|18|2|5|10|2023-05-14 23:45:12
107|18|2|6|12|2023-04-01 04:58:24
108|19|9|25|63|2022-04-25 11:00:49
109|19|10|26|66|2023-06-29 14:39:12
110|19|10|27|68|2023-05-20 18:55:35
111|19|10|28|71|2023-06-05 04:01:06
112|19|10|29|74|2023-06-10 10:02:44
113|20|7|19|43|2022-08-16 19:06:29
114|20|7|20|45|2022-08-04 11:13:50
115|20|7|21|49|2022-08-02 00:24:56
116|20|7|22|51|2022-08-25 08:36:48
117|20|8|23|56|2023-08-15 00:39:53
118|20|8|24|59|2023-08-21 00:22:06
